window,train_start,train_end,valid_start,valid_end,segment,ic_lgb,ic_mlp,ic_stack,ic_qlib_ensemble
38,2019-03-01,2021-02-28,2021-03-01,2021-03-31,train,0.5655858013691399,0.09170857683061119,0.5755239309829674,0.2421905796546454
39,2019-04-01,2021-03-31,2021-04-01,2021-04-30,train,0.57108682932317,0.07645893155412027,0.5646825432296568,0.246212769340577
40,2019-05-01,2021-04-30,2021-05-01,2021-05-31,train,0.5718122423103771,0.08025139766068771,0.5755578851804375,0.24586552423259533
41,2019-06-01,2021-05-31,2021-06-01,2021-06-30,train,0.5843585363782959,0.08732481291903423,0.585137806200333,0.2550071464994615
42,2019-07-01,2021-06-30,2021-07-01,2021-07-31,train,0.5940653979930108,0.0798755276364866,0.6213831758143764,0.2565522915112908
43,2019-08-01,2021-07-31,2021-08-01,2021-08-31,train,0.6073373193919086,0.08645625009216124,0.6110961135556963,0.26321767209814206
44,2019-09-01,2021-08-31,2021-09-01,2021-09-30,train,0.62343610761268,0.09480221017421318,0.632650388306531,0.27082848095621026
45,2019-10-01,2021-09-30,2021-10-01,2021-10-31,train,0.6388816119013412,0.10134196437723851,0.6388174566306886,0.2954281720720315
46,2019-11-01,2021-10-31,2021-11-01,2021-11-30,train,0.6532267639782936,0.09597205233638711,0.6597178357068598,0.2887824476001171
47,2019-12-01,2021-11-30,2021-12-01,2021-12-31,train,0.6718384089016276,0.10517962320816433,0.6817841304073521,0.3004729271401391
48,2020-01-01,2021-12-31,2022-01-01,2022-01-31,train,0.6925892593952182,0.11647242098143026,0.6939213180886077,0.3047861314291866
49,2020-02-01,2022-01-31,2022-02-01,2022-02-28,train,0.7068927126982718,0.12703827279245306,0.7104998406650661,0.3252720139530279
50,2020-03-01,2022-02-28,2022-03-01,2022-03-31,train,0.718453666716584,0.12130950297148167,0.726688816853209,0.3309427034907096
51,2020-04-01,2022-03-31,2022-04-01,2022-04-30,train,0.7384478929117365,0.12146220292341724,0.7481427232646826,0.36431988497165557
52,2020-05-01,2022-04-30,2022-05-01,2022-05-31,train,0.7658776543409911,0.12510000734479326,0.7709649402476335,0.36230830562757216
53,2020-06-01,2022-05-31,2022-06-01,2022-06-30,train,0.7990368795926556,0.11629416280399578,0.8018123243435279,0.3768563296322376
54,2020-07-01,2022-06-30,2022-07-01,2022-07-31,train,0.8508278059059198,0.14037550828242767,0.8604975696144591,0.40514632080804275
55,2020-08-01,2022-07-31,2022-08-01,2022-08-31,train,0.9196141145766101,0.21828937781144178,0.9249014413685536,0.5804915227005286
56,2020-09-01,2022-08-31,2022-09-01,2022-09-30,train,0.9692812468697928,0.24079142064879466,0.9769942632966883,0.592893274909968
